salario,gasto_mensal,genero,filhos,escolaridade,imovel,empreendedor,perfil
9312,4559,f,3,Pós graduado,Não,SIM,Conservador
1151,1059,m,4,Fundamental Completo,Não,SIM,Não Investidor
20487,5294,m,1,Pós graduado,SIM,SIM,Agressivo
6917,4191,f,3,Médio Completo,SIM,SIM,Conservador
4915,2992,m,2,Médio Incompleto,SIM,Não,Não Investidor
1981,1857,m,5,Médio Completo,Não,SIM,Não Investidor
6683,1708,f,3,Pós graduado,Não,SIM,Conservador
4815,1339,f,5,Fundamental Completo,SIM,Não,Não Investidor
8254,6595,m,1,Pós graduado,Não,SIM,Moderado
10435,10316,m,2,Superior Completo,Não,Não,Moderado
17106,7710,m,1,Pós graduado,SIM,SIM,Agressivo
4264,3919,m,4,Fundamental Completo,SIM,SIM,Não Investidor
2283,1714,f,2,Médio Completo,SIM,SIM,Não Investidor
10218,5439,m,2,Superior Completo,SIM,SIM,Moderado
15748,7156,m,3,Superior Completo,Não,SIM,Agressivo
2811,2808,f,2,Médio Incompleto,Não,SIM,Não Investidor
2604,1582,n,2,Fundamental Completo,SIM,Não,Não Investidor
10928,7836,m,2,Superior Completo,Não,Não,Moderado
9279,3113,f,4,Médio Completo,Não,SIM,Conservador
2017,1943,m,4,Médio Incompleto,SIM,Não,Não Investidor
3088,2563,m,5,Superior Completo,SIM,SIM,Conservador
15717,6009,f,1,Superior Completo,Não,Não,Moderado
23767,5986,m,2,Superior Completo,Não,SIM,Agressivo
19436,8046,f,1,Superior Completo,Não,Não,Agressivo
3316,2158,m,4,Fundamental Completo,SIM,SIM,Não Investidor
13869,13028,f,2,Pós graduado,Não,SIM,Moderado
14651,7236,m,2,Superior Completo,SIM,Não,Moderado
12916,7308,f,1,Superior Incompleto,SIM,Não,Moderado
6283,2949,f,2,Superior Incompleto,SIM,SIM,Conservador
24882,7978,m,1,Superior Completo,Não,Não,Agressivo
4617,2642,m,4,Fundamental Incompleto,SIM,SIM,Não Investidor
5631,868,f,2,Médio Completo,SIM,Não,Conservador
16008,7990,n,2,Pós graduado,SIM,Não,Agressivo
3957,1201,m,3,Superior Completo,Não,Não,Conservador
1323,1218,f,2,Médio Completo,Não,Não,Não Investidor
16816,6100,m,3,Pós graduado,SIM,SIM,Agressivo
1669,1332,m,5,Superior Completo,Não,SIM,Conservador
1767,1529,m,3,Fundamental Incompleto,SIM,Não,Não Investidor
1991,1254,m,4,Fundamental Completo,SIM,SIM,Não Investidor
22070,5080,m,2,Superior Completo,SIM,Não,Agressivo
7801,1958,m,2,Médio Completo,SIM,Não,Conservador
4548,2370,m,3,Fundamental Completo,SIM,SIM,Não Investidor
